,host_name,host_since,host_neighbourhood,property_type,room_type,price
38006,Sharon,2010-07-08,,Entire home,Entire home/apt,$75.00
38007,Erica Alisa,2021-04-15,,Private room in home,Private room,$130.00
38008,Trien,2024-02-05,Southeast Anaheim,Entire home,Entire home/apt,$292.00
38009,Jinyi,2016-10-07,Garvey,Entire home,Entire home/apt,$291.00
38010,Kevin Michael,2024-04-12,Sunset Beach,Entire rental unit,Entire home/apt,$127.00
38011,Jason,2020-05-28,Central LA,Entire home,Entire home/apt,"$9,714.00"
38012,Xueying,2024-12-12,,Entire home,Entire home/apt,$220.00
38013,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$48.00
38014,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$48.00
38015,Ozge,2023-12-21,Fairfax,Entire home,Entire home/apt,$774.00
38016,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$48.00
38017,Sertac,2015-05-01,Fairfax,Entire home,Entire home/apt,$711.00
38018,Jason,2020-05-28,Central LA,Entire home,Entire home/apt,"$11,901.00"
38019,Elizaveta,2022-10-20,Plaza,Entire home,Entire home/apt,$407.00
38020,Jason,2018-12-27,,Entire rental unit,Entire home/apt,$205.00
38021,The Maimon Group,2021-08-06,Central LA,Entire home,Entire home/apt,"$1,482.00"
38022,Michal,2017-03-30,Venice,Entire rental unit,Entire home/apt,$114.00
38023,Farzad,2017-08-10,West Los Angeles,Private room in rental unit,Private room,$104.00
38024,Qihuan,2024-12-14,Echo Park,Private room in guesthouse,Private room,$108.00
38025,Marcus,2016-05-12,South Los Angeles,Entire home,Entire home/apt,$102.00
38026,Roman,2014-08-09,Five Points,Entire rental unit,Entire home/apt,$203.00
38027,Nada,2022-05-11,Koreatown,Entire rental unit,Entire home/apt,$195.00
38028,Keith,2016-03-21,,Entire home,Entire home/apt,$101.00
38029,Brian,2019-01-02,,Entire home,Entire home/apt,$218.00
38030,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$42.00
38031,Cole Mateo,2016-12-06,Downtown Los Angeles,Entire rental unit,Entire home/apt,$456.00
38032,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$50.00
38033,Anita,2014-01-16,,Entire rental unit,Entire home/apt,$143.00
38034,Leigh,2023-06-04,Central LA,Entire rental unit,Entire home/apt,$82.00
38035,I,2021-04-20,Koreatown,Private room in home,Private room,$69.00
38036,Mert,2017-07-26,Fairfax,Entire home,Entire home/apt,$727.00
38037,Mert,2017-07-26,Fairfax,Entire home,Entire home/apt,$243.00
38038,Eric,2021-07-22,University Park,Entire home,Entire home/apt,$356.00
38039,Guesty,2023-03-07,University Park,Entire home,Entire home/apt,
38040,Blueground,2016-12-16,Cambridge,Entire rental unit,Entire home/apt,$271.00
38041,Wissem,2023-09-06,Central LA,Entire rental unit,Entire home/apt,$249.00
38042,Bertha,2024-02-11,,Entire home,Entire home/apt,$200.00
38043,Emalie & Brian,2016-07-21,,Entire home,Entire home/apt,
38044,Jennifer,2013-09-04,Wilshire Montana,Entire rental unit,Entire home/apt,$51.00
38045,Sondra,2012-10-14,Sawtelle,Private room in rental unit,Private room,$85.00
38046,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$39.00
38047,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$50.00
38048,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$53.00
38049,Audemar,2016-04-23,Glenwood,Entire home,Entire home/apt,$899.00
38050,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$42.00
38051,Gabriel,2024-12-14,Echo Park,Entire home,Entire home/apt,$235.00
38052,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$50.00
38053,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$51.00
38054,Stefania,2016-07-17,Central LA,Entire rental unit,Entire home/apt,$205.00
38055,Tony,2023-01-23,Playa del Rey,Entire rental unit,Entire home/apt,$250.00
38056,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$51.00
38057,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$50.00
38058,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$50.00
38059,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$50.00
38060,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$41.00
38061,Pamela Elizabeth,2024-05-14,Koreatown,Shared room in rental unit,Shared room,$16.00
38062,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$54.00
38063,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$42.00
38064,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$50.00
38065,Greg,2016-01-05,Valley Glen,Entire home,Entire home/apt,$436.00
38066,Tatiana,2014-09-25,Pinheiros,Camper/RV,Entire home/apt,$294.00
38067,Sean,2016-06-15,Venice,Entire home,Entire home/apt,
38068,Ksenia,2023-12-05,,Entire rental unit,Entire home/apt,$111.00
38069,Mina,2016-09-03,,Entire home,Entire home/apt,$219.00
38070,Doris,2014-04-03,Mid-City,Entire home,Entire home/apt,$277.00
38071,慧,2024-09-16,,Private room in rental unit,Private room,$88.00
38072,George & Lola,2020-11-13,Mid-City,Entire home,Entire home/apt,$111.00
38073,Joshua Ariel,2024-11-16,Near East Side,Entire home,Entire home/apt,$198.00
38074,Tayfun,2015-07-14,,Entire rental unit,Entire home/apt,$222.00
38075,Cerra,2024-12-04,,Shared room in hotel,Shared room,$56.00
38076,Siavash,2015-07-26,Beverly Crest,Entire home,Entire home/apt,"$3,195.00"
38077,Jacklyn,2017-05-18,Calabasas Highlands,Entire guesthouse,Entire home/apt,$212.00
38078,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$50.00
38079,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,
38080,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$50.00
38081,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$50.00
38082,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$50.00
38083,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$51.00
38084,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$50.00
38085,Sergei,2022-06-07,Central LA,Entire rental unit,Entire home/apt,$260.00
38086,Eric,2024-11-12,Venice,Room in hotel,Private room,$446.00
38087,Roman,2014-08-09,Five Points,Entire rental unit,Entire home/apt,$256.00
38088,Chenita,2024-12-15,Koreatown,Entire rental unit,Entire home/apt,$78.00
38089,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$50.00
38090,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$52.00
38091,Yon,2024-03-23,Koreatown,Entire home,Entire home/apt,$154.00
38092,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$50.00
38093,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$42.00
38094,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$50.00
38095,Shatoya,2019-09-16,,Entire home,Entire home/apt,$230.00
38096,Wenxing,2024-12-08,,Private room in home,Private room,$47.00
38097,Ariella,2020-09-06,Venice,Entire home,Entire home/apt,$535.00
38098,Andy,2024-12-13,North Hollywood,Entire home,Entire home/apt,$302.00
38099,Cerra,2024-12-04,,Shared room in hotel,Shared room,$56.00
38100,Cerra,2024-12-04,,Shared room in hotel,Shared room,$59.00
38101,Cerra,2024-12-04,,Shared room in hotel,Shared room,$58.00
38102,Cerra,2024-12-04,,Shared room in hotel,Shared room,$56.00
38103,Shilpi,2016-08-05,Northeast Los Angeles,Entire home,Entire home/apt,
38104,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$42.00
38105,Vianey,2014-12-16,,Entire rental unit,Entire home/apt,$183.00
38106,Diana,2024-11-01,Northridge,Shared room in home,Shared room,$30.00
38107,Paola,2016-02-04,North Hollywood,Entire home,Entire home/apt,$160.00
38108,Candy,2018-12-20,Westlake,Entire home,Entire home/apt,$329.00
38109,Marina,2019-08-01,,Entire home,Entire home/apt,$69.00
38110,Echo,2022-08-13,West Valley,Entire rental unit,Entire home/apt,$91.00
38111,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$118.00
38112,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$118.00
38113,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$118.00
38114,Sarit,2019-01-13,Central LA,Entire home,Entire home/apt,$443.00
38115,Joani,2015-08-31,West Hollywood,Entire rental unit,Entire home/apt,$110.00
38116,Hikmet Caglar,2024-05-15,Central LA,Entire rental unit,Entire home/apt,$199.00
38117,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38118,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38119,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38120,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38121,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38122,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38123,Suzy,2018-08-24,Granada Hills,Entire home,Entire home/apt,$161.00
38124,Hanmei,2024-10-26,South Los Angeles,Private room in rental unit,Private room,$42.00
38125,Tamara,2017-04-15,Eastside,Entire home,Entire home/apt,$197.00
38126,Shukai,2015-02-13,,Entire guesthouse,Entire home/apt,$143.00
38127,Derian,2020-12-08,North Hollywood,Entire home,Entire home/apt,$140.00
38128,Rahim,2023-03-08,Central LA,Entire rental unit,Entire home/apt,$170.00
38129,David Wai,2016-03-23,Alhambra,Entire home,Entire home/apt,$145.00
38130,Karlen,2024-12-14,,Entire home,Entire home/apt,$169.00
38131,Procopio Alfredo,2016-08-07,Westlake,Entire rental unit,Entire home/apt,$106.00
38132,Pavel,2022-12-30,Hollywood,Entire rental unit,Entire home/apt,$144.00
38133,Bedream Management,2023-03-05,San Gorgonio,Entire loft,Entire home/apt,$174.00
38134,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$118.00
38135,Heros,2014-12-23,Delthorne,Private room in rental unit,Private room,$67.00
38136,Ikuko,2014-07-12,,Entire home,Entire home/apt,$268.00
38137,Stacey,2022-06-29,Eastside,Entire condo,Entire home/apt,$298.00
38138,Stay Awhile,2014-11-29,Bel Air/Beverly Crest,Entire villa,Entire home/apt,"$1,501.00"
38139,Allen,2024-12-15,Koreatown,Private room in home,Private room,$42.00
38140,James,2020-01-01,Central LA,Private room in rental unit,Private room,$140.00
38141,Kristina,2014-09-08,South Redondo,Entire rental unit,Entire home/apt,$217.00
38142,George & Lola,2020-11-13,Mid-City,Entire home,Entire home/apt,$989.00
38143,Ryan,2024-12-03,Melrose,Entire rental unit,Entire home/apt,$234.00
38144,Ruimin,2023-10-18,Sherman Oaks,Shared room in rental unit,Shared room,$24.00
38145,George & Lola,2020-11-13,Mid-City,Entire home,Entire home/apt,$989.00
38146,Jon,2013-09-11,Vineyard,Entire home,Entire home/apt,
38147,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$197.00
38148,Berena Beatriz,2020-11-14,Saugus,Entire rental unit,Entire home/apt,$190.00
38149,Vatche,2015-07-27,Studio City,Private room in bed and breakfast,Private room,
38150,Luxxx,2022-03-13,Central LA,Entire rental unit,Entire home/apt,$251.00
38151,LA Rentals,2023-07-07,North Hollywood,Entire home,Entire home/apt,$389.00
38152,Andre,2024-10-29,Turtle Rock,Entire home,Entire home/apt,$228.00
38153,John,2022-04-20,Eastern Malibu,Entire home,Entire home/apt,
38154,Sandra,2024-12-18,,Entire home,Entire home/apt,$240.00
38155,RoomPicks,2022-11-17,Southpoint,Room in hotel,Hotel room,$104.00
38156,RoomPicks,2022-11-17,Southpoint,Room in hotel,Hotel room,$104.00
38157,Chino,2016-05-04,Costanera Portecelo,Private room in home,Private room,$87.00
38158,Solen,2024-08-02,Mid-City,Private room in home,Private room,$40.00
38159,Shaun,2024-12-09,Westlake,Shared room in rental unit,Shared room,$14.00
38160,Shaun,2024-12-09,Westlake,Shared room in rental unit,Shared room,$15.00
38161,Shaun,2024-12-09,Westlake,Shared room in rental unit,Shared room,$16.00
38162,Gyan,2024-12-16,Downtown Los Angeles,Entire rental unit,Entire home/apt,
38163,Beverly,2020-01-08,,Entire home,Entire home/apt,$333.00
38164,Dan,2014-05-14,South Los Angeles,Entire home,Entire home/apt,$227.00
38165,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$48.00
38166,Seda,2024-12-20,Playa del Rey,Entire condo,Entire home/apt,$114.00
38167,Aaron,2024-02-26,Encino,Entire cabin,Entire home/apt,"$3,863.00"
38168,Jon,2013-09-11,Vineyard,Entire home,Entire home/apt,$56.00
38169,Sara,2023-01-16,Central LA,Entire rental unit,Entire home/apt,$149.00
38170,Kristen,2014-10-21,Venice,Entire rental unit,Entire home/apt,$154.00
38171,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$197.00
38172,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$197.00
38173,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$197.00
38174,Serena,2024-12-16,South Los Angeles,Entire home,Entire home/apt,$150.00
38175,Bedream Management,2023-03-05,San Gorgonio,Entire home,Entire home/apt,$113.00
38176,Kai Mattan,2018-03-28,Mid-Wilshire,Entire home,Entire home/apt,"$1,450.00"
38177,Yuk,2024-12-05,,Entire guest suite,Entire home/apt,$84.00
38178,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$251.00
38179,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$118.00
38180,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$158.00
38181,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$245.00
38182,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$62.00
38183,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$48.00
38184,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$48.00
38185,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$48.00
38186,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$48.00
38187,Isabella,2013-09-26,Del Rey,Entire home,Entire home/apt,$306.00
38188,Eddie & Chloe,2020-02-16,West Los Angeles,Entire rental unit,Entire home/apt,$989.00
38189,Hashem,2017-06-10,Downtown,Private room in home,Private room,$63.00
38190,Dinetia,2019-11-05,Pacific - Edison,Entire condo,Entire home/apt,$260.00
38191,Jenny,2024-03-18,,Private room in home,Private room,$36.00
38192,Nadav David,2024-12-18,Encino,Entire home,Entire home/apt,$350.00
38193,Cindy,2013-03-25,McManus,Entire rental unit,Entire home/apt,$167.00
38194,Yixiao,2024-12-10,South Vancouver,Entire condo,Entire home/apt,$169.00
38195,Yixiao,2024-12-10,South Vancouver,Entire rental unit,Entire home/apt,$193.00
38196,William,2016-03-30,Mid-City,Entire home,Entire home/apt,$247.00
38197,Rana,2024-12-16,Central LA,Entire home,Entire home/apt,$576.00
38198,Beverly,2020-01-08,,Entire home,Entire home/apt,$144.00
38199,Yuk,2024-12-05,,Entire guest suite,Entire home/apt,$100.00
38200,Beverly,2020-01-08,,Private room in home,Private room,$122.00
38201,Beverly,2020-01-08,,Entire home,Entire home/apt,$276.00
38202,Yuk,2024-12-05,,Entire guest suite,Entire home/apt,$87.00
38203,Daniel,2024-03-01,Central LA,Entire home,Entire home/apt,"$1,194.00"
38204,Jack,2022-11-23,Downtown,Entire rental unit,Entire home/apt,$325.00
38205,Falyn,2024-03-09,Tropico,Entire rental unit,Entire home/apt,$96.00
38206,Jack,2022-11-23,Downtown,Entire rental unit,Entire home/apt,$363.00
38207,Jack,2022-11-23,Downtown,Entire rental unit,Entire home/apt,$378.00
38208,Jack,2022-11-23,Downtown,Entire rental unit,Entire home/apt,$378.00
38209,Doris,2014-04-03,Mid-City,Entire home,Entire home/apt,$170.00
38210,Jack,2022-11-23,Downtown,Entire rental unit,Entire home/apt,$287.00
38211,Kevin,2015-11-10,Central LA,Entire home,Entire home/apt,$135.00
38212,Swiss Living,2023-09-25,Greater Mulwood,Entire rental unit,Entire home/apt,
38213,Allen,2024-12-15,Koreatown,Private room in home,Private room,$41.00
38214,Swiss Living,2023-09-25,Greater Mulwood,Entire rental unit,Entire home/apt,$271.00
38215,William,2016-03-30,Mid-City,Entire home,Entire home/apt,$299.00
38216,Farbod,2014-05-21,Silver Lake,Entire home,Entire home/apt,$366.00
38217,William,2016-03-30,Mid-City,Entire home,Entire home/apt,"$1,200.00"
38218,Pedro,2018-03-08,Central LA,Entire home,Entire home/apt,$257.00
38219,Evelyn,2024-07-31,Sawtelle,Entire rental unit,Entire home/apt,$200.00
38220,Yamileth,2015-04-04,,Entire home,Entire home/apt,$77.00
38221,Jaivion,2024-12-18,Downtown,Entire rental unit,Entire home/apt,$285.00
38222,Laith,2024-04-03,South Redondo,Entire home,Entire home/apt,$425.00
38223,Dan,2024-11-17,,Private room in home,Private room,$54.00
38224,Yuk,2024-12-05,,Entire guest suite,Entire home/apt,$79.00
38225,Candy,2018-12-20,Westlake,Entire home,Entire home/apt,$379.00
38226,David Wai,2016-03-23,Alhambra,Entire home,Entire home/apt,$174.00
38227,Shaohong,2024-12-16,,Entire guesthouse,Entire home/apt,$189.00
38228,Ross,2014-08-13,Venice,Entire rental unit,Entire home/apt,$221.00
38229,Candy,2018-12-20,Westlake,Entire home,Entire home/apt,$140.00
38230,Soheil,2015-11-27,Central LA,Entire home,Entire home/apt,$232.00
38231,Candy,2018-12-20,Westlake,Entire home,Entire home/apt,$234.00
38232,Lin,2014-07-23,Northwest Torrance,Private room in home,Private room,$74.00
38233,Valerie,2021-05-25,Central LA,Entire rental unit,Entire home/apt,$103.00
38234,Candy,2018-12-20,Westlake,Entire home,Entire home/apt,$557.00
38235,Lin,2014-07-23,Northwest Torrance,Private room in home,Private room,$73.00
38236,Beverly,2020-01-08,,Private room in home,Private room,$108.00
38237,Lin,2014-07-23,Northwest Torrance,Private room in home,Private room,$73.00
38238,Beverly,2020-01-08,,Private room in home,Private room,$128.00
38239,Jack,2022-11-23,Downtown,Entire rental unit,Entire home/apt,$184.00
38240,Chris,2021-07-17,Central LA,Entire rental unit,Entire home/apt,$208.00
38241,Jack,2022-11-23,Downtown,Entire rental unit,Entire home/apt,$381.00
38242,Ravi,2014-04-16,Pacific Palisades,Entire home,Entire home/apt,$799.00
38243,Saman,2014-08-20,Pico-Robertson,Entire rental unit,Entire home/apt,$200.00
38244,Saman,2014-08-20,Pico-Robertson,Entire rental unit,Entire home/apt,$180.00
38245,Saman,2014-08-20,Pico-Robertson,Entire rental unit,Entire home/apt,$180.00
38246,William,2016-03-30,Mid-City,Entire home,Entire home/apt,$185.00
38247,William,2016-03-30,Mid-City,Entire home,Entire home/apt,$125.00
38248,Ortal,2024-10-29,Encino,Entire home,Entire home/apt,$397.00
38249,Vacation Inn LA,2015-01-03,Studio City,Entire home,Entire home/apt,$426.00
38250,Prime Rentals,2017-06-24,Mid City,Private room in home,Private room,$40.00
38251,Terry,2015-05-19,Studio City,Entire home,Entire home/apt,$525.00
38252,Prime Rentals,2017-06-24,Mid City,Private room in home,Private room,$40.00
38253,Prime Rentals,2017-06-24,Mid City,Private room in home,Private room,$37.00
38254,Prime Rentals,2017-06-24,Mid City,Private room in home,Private room,$41.00
38255,Fenix,2021-06-09,North Central,Entire rental unit,Entire home/apt,$141.00
38256,Faye,2017-04-10,,Entire home,Entire home/apt,$371.00
38257,Liza Marie,2017-08-29,Central LA,Entire home,Entire home/apt,$829.00
38258,Nada,2022-05-11,Koreatown,Entire rental unit,Entire home/apt,$129.00
38259,Karlen,2024-12-14,,Entire home,Entire home/apt,$125.00
38260,Marc,2013-11-18,Ximen,Entire rental unit,Entire home/apt,$148.00
38261,Natalia,2018-04-19,Sherman Oaks,Entire home,Entire home/apt,$999.00
38262,Ashton,2014-10-29,Hollywood Hills,Entire home,Entire home/apt,$330.00
38263,Shanna,2017-06-21,,Private room in home,Private room,$75.00
38264,Kris,2020-12-19,Rancho Park,Entire home,Entire home/apt,$204.00
38265,Natalia,2018-04-19,Sherman Oaks,Entire home,Entire home/apt,$850.00
38266,Athena,2021-10-11,South Montebello,Private room in home,Private room,$56.00
38267,Jenny,2024-03-18,,Private room in home,Private room,$35.00
38268,Elena,2024-03-28,Fox Hills,Entire rental unit,Entire home/apt,$84.00
38269,Hossein,2021-06-08,Windsor Hills,Entire home,Entire home/apt,$197.00
38270,Ayline Scarlett,2020-02-25,Central LA,Entire rental unit,Entire home/apt,$291.00
38271,Neddi Abdulfatah,2024-12-19,,Entire home,Entire home/apt,$150.00
38272,Los Angeles Rental,2020-12-02,South Los Angeles,Entire home,Entire home/apt,$231.00
38273,Debora,2023-05-17,,Private room in home,Private room,
38274,Prime Rentals,2017-06-24,Mid City,Private room in home,Private room,$42.00
38275,Brian,2016-10-10,Venice,Entire rental unit,Entire home/apt,$225.00
38276,Michael,2012-12-17,Pasadena,Private room in home,Private room,$58.00
38277,Jenny,2024-03-18,,Private room in home,Private room,$43.00
38278,Los Angeles Rentals,2022-05-22,North Hollywood,Entire home,Entire home/apt,$231.00
38279,Stay Awhile,2014-11-29,Bel Air/Beverly Crest,Entire home,Entire home/apt,"$1,171.00"
38280,Gagik,2016-08-28,Oakmont,Entire home,Entire home/apt,$185.00
38281,Los Angeles Rental,2020-12-02,South Los Angeles,Entire home,Entire home/apt,$222.00
38282,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38283,Aye,2021-09-09,,Entire home,Entire home/apt,$132.00
38284,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38285,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38286,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38287,Elin,2016-08-27,Newport Coast,Entire home,Entire home/apt,$259.00
38288,Lesley,2017-03-02,South Los Angeles,Entire guest suite,Entire home/apt,$90.00
38289,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38290,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38291,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38292,Sara,2016-05-12,,Private room in home,Private room,$143.00
38293,Maria,2024-12-21,,Entire home,Entire home/apt,
38294,James,2017-01-02,,Entire home,Entire home/apt,$76.00
38295,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$176.00
38296,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$197.00
38297,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$197.00
38298,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$197.00
38299,Abbey,2014-01-27,Venice,Entire home,Entire home/apt,$522.00
38300,Luxury Santa Monica Rentals,2021-07-19,,Entire rental unit,Entire home/apt,$225.00
38301,Grand Welcome Long Beach,2023-01-17,Belmont Park,Entire home,Entire home/apt,"$1,412.00"
38302,Ricardo,2016-04-21,North Hollywood,Private room in guest suite,Private room,$68.00
38303,Lilit,2024-12-19,Glenoaks Canyon,Entire guesthouse,Entire home/apt,$102.00
38304,Jie,2016-12-02,Lamanda Park,Entire home,Entire home/apt,$312.00
38305,Daleigh,2024-12-18,North Central,Entire home,Entire home/apt,$760.00
38306,Simon,2013-02-21,Valley Village,Entire home,Entire home/apt,$298.00
38307,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$48.00
38308,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38309,James Madden,2021-09-01,Sherman Oaks,Entire villa,Entire home/apt,$871.00
38310,Hometang,2017-08-21,Pasadena,Entire rental unit,Entire home/apt,$199.00
38311,Yvonne,2019-05-11,Kyle Canyon,Entire home,Entire home/apt,$300.00
38312,Blueground,2016-12-16,Cambridge,Entire rental unit,Entire home/apt,$184.00
38313,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38314,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,
38315,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38316,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38317,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38318,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38319,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38320,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38321,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$47.00
38322,Saman,2014-08-20,Pico-Robertson,Entire home,Entire home/apt,$133.00
38323,Saman,2014-08-20,Pico-Robertson,Entire rental unit,Entire home/apt,$91.00
38324,Ashton Brooke,2024-12-21,,Entire guesthouse,Entire home/apt,$175.00
38325,Luxxx,2022-03-13,Central LA,Entire rental unit,Entire home/apt,$211.00
38326,Rocio,2024-12-15,,Entire rental unit,Entire home/apt,$165.00
38327,Luxxx,2022-03-13,Central LA,Entire rental unit,Entire home/apt,$145.00
38328,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$48.00
38329,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$48.00
38330,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$48.00
38331,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$48.00
38332,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$48.00
38333,Jia Sheng,2024-10-13,Little Italy,Private room in rental unit,Private room,$48.00
38334,Blueground,2016-12-16,Cambridge,Entire rental unit,Entire home/apt,$200.00
38335,Blueground,2016-12-16,Cambridge,Entire rental unit,Entire home/apt,$189.00
38336,Blueground,2016-12-16,Cambridge,Entire rental unit,Entire home/apt,$318.00
38337,Tyler,2017-12-27,,Entire home,Entire home/apt,$891.00
38338,Tyler,2017-12-27,,Entire home,Entire home/apt,
38339,Ruimin,2023-10-18,Sherman Oaks,Shared room in rental unit,Shared room,$28.00
38340,Luxxx,2022-03-13,Central LA,Entire rental unit,Entire home/apt,
38341,Mary,2014-09-02,North Hollywood,Private room in home,Private room,$75.00
38342,Irene,2015-06-12,,Entire guesthouse,Entire home/apt,$235.00
38343,Ruimin,2023-10-18,Sherman Oaks,Shared room in rental unit,Shared room,$24.00
38344,Luxxx,2022-03-13,Central LA,Entire rental unit,Entire home/apt,$170.00
38345,Richard,2024-12-21,Old Pasadena,Entire rental unit,Entire home/apt,$325.00
38346,Luxxx,2022-03-13,Central LA,Entire rental unit,Entire home/apt,
38347,Oscar,2020-07-06,Woodland Hills,Entire home,Entire home/apt,$298.00
38348,Luxxx,2022-03-13,Central LA,Entire rental unit,Entire home/apt,$170.00
38349,Carlos,2018-08-12,,Entire rental unit,Entire home/apt,
38350,Tyler,2017-12-27,,Entire home,Entire home/apt,"$1,440.00"
38351,Petra,2016-08-13,Bačvice,Entire rental unit,Entire home/apt,$129.00
38352,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$255.00
38353,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$197.00
38354,Jia Sheng,2024-10-13,Little Italy,Entire rental unit,Entire home/apt,$118.00
